
66,5,CONGESTION-DETECTED,CCTV03
66,5,CONGESTION-DETECTED,CCTV04
85,30,CONGESTION-DETECTED,CCTV02
588,13,CONGESTION-DETECTED,CCTV03
621,13,CONGESTION-DETECTED,CCTV04
79,47,CONGESTION-DETECTED,CCTV02
120,57,CONGESTION-DETECTED,CCTV02
226,64,CONGESTION-DETECTED,CCTV02
192,65,CONGESTION-DETECTED,CCTV02
248,20,CONGESTION-DETECTED,CCTV04
270,20,CONGESTION-DETECTED,CCTV03
428,38,CONGESTION-DETECTED,CCTV04
547,38,CONGESTION-DETECTED,CCTV03
81,40,CONGESTION-DETECTED,CCTV04
88,40,CONGESTION-DETECTED,CCTV03
78,98,CONGESTION-DETECTED,CCTV02
85,20,CONGESTION-DETECTED,CCTV01
432,126,CONGESTION-DETECTED,CCTV02
363,138,CONGESTION-DETECTED,CCTV02
75,152,CONGESTION-DETECTED,CCTV02
131,28,CONGESTION-DETECTED,CCTV01
83,94,CONGESTION-DETECTED,CCTV03
80,94,CONGESTION-DETECTED,CCTV04
131,101,CONGESTION-DETECTED,CCTV03
137,101,CONGESTION-DETECTED,CCTV04
171,109,CONGESTION-DETECTED,CCTV03
170,109,CONGESTION-DETECTED,CCTV04
402,238,CONGESTION-DETECTED,CCTV02
237,252,CONGESTION-DETECTED,CCTV02
104,254,CONGESTION-DETECTED,CCTV02
95,121,CONGESTION-DETECTED,CCTV04
88,121,CONGESTION-DETECTED,CCTV03
283,275,CONGESTION-DETECTED,CCTV02
75,5,CONGESTION-DETECTED,CCTV01
74,5,CONGESTION-DETECTED,CCTV03
727,13,CONGESTION-DETECTED,CCTV04
709,13,CONGESTION-DETECTED,CCTV02
723,13,CONGESTION-DETECTED,CCTV01
631,13,CONGESTION-DETECTED,CCTV03
354,20,CONGESTION-DETECTED,CCTV04
391,20,CONGESTION-DETECTED,CCTV01
366,20,CONGESTION-DETECTED,CCTV02
357,20,CONGESTION-DETECTED,CCTV03
695,38,CONGESTION-DETECTED,CCTV04
627,38,CONGESTION-DETECTED,CCTV02
